date,adult,medical,violence
2017-11-17,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
2022-04-13,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-05-11,UNLIKELY,UNLIKELY,LIKELY
2024-07-10,VERY_UNLIKELY,UNLIKELY,VERY_LIKELY
2022-05-09,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2019-06-29,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2023-07-18,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2020-07-30,UNLIKELY,VERY_UNLIKELY,UNLIKELY
2024-07-09,VERY_UNLIKELY,VERY_LIKELY,VERY_LIKELY
2024-04-18,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-03-23,UNLIKELY,VERY_LIKELY,VERY_LIKELY
2023-09-17,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2024-04-17,POSSIBLE,VERY_LIKELY,VERY_LIKELY
2024-07-09,UNLIKELY,VERY_LIKELY,VERY_LIKELY
2024-07-01,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-06-20,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2022-05-31,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2021-04-11,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2023-09-05,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2022-04-09,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2024-05-06,VERY_UNLIKELY,LIKELY,VERY_LIKELY
2024-04-26,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2022-09-25,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2019-05-20,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
2023-12-21,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-09,UNLIKELY,LIKELY,VERY_LIKELY
2024-04-22,UNLIKELY,UNLIKELY,UNLIKELY
2016-09-24,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
2021-05-21,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2022-06-27,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2022-08-17,UNLIKELY,VERY_UNLIKELY,POSSIBLE
2019-01-30,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-03-29,VERY_UNLIKELY,LIKELY,VERY_LIKELY
2024-04-29,POSSIBLE,VERY_LIKELY,VERY_LIKELY
2024-04-01,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
