BS実況(無料),なんでも実況G,ニュース速報,ニュース速報+,ニュー速VIP,番組ch(NHK),番組ch(TBS),番組ch(フジ),番組ch(朝日),芸スポ速報+
0.0,0.0,142097.23333333334,129004.33333333333,233769.06666666668,76185.63333333333,40209.03333333333,53735.2,47985.166666666664,39613.76666666667
0.0,0.0,125316.16129032258,98749.25806451614,252940.16129032258,59689.709677419356,34533.354838709674,53986.8064516129,46281.290322580644,45095.1935483871
0.0,0.0,129535.5,88357.16666666667,232973.5,59845.3,35518.13333333333,54434.3,44781.73333333333,47761.333333333336
0.0,0.0,151177.32258064515,93606.3870967742,319130.1612903226,58099.22580645161,38097.903225806454,72359.03225806452,42079.354838709674,71647.32258064517
0.0,0.0,162028.4516129032,95700.70967741935,355463.6129032258,56109.645161290326,37849.6129032258,47602.32258064516,40942.22580645161,68863.29032258065
0.0,0.0,165759.23333333334,95918.3,351037.9666666667,57686.73333333333,39094.86666666667,48453.333333333336,42651.23333333333,56241.3
0.0,0.0,159093.74193548388,81965.51612903226,344852.03225806454,45684.1935483871,41781.032258064515,57970.16129032258,51704.096774193546,49695.032258064515
8877.473684210527,0.0,163443.66666666666,83188.06666666667,363702.9,50604.833333333336,35167.1,42582.566666666666,42999.066666666666,47702.066666666666
8143.419354838709,0.0,164105.06451612903,83490.64516129032,360089.6129032258,53634.645161290326,37688.32258064516,49589.74193548387,41766.709677419356,45847.16129032258
8936.290322580646,0.0,76374.09677419355,86696.67741935483,345800.96774193546,51502.8064516129,35210.12903225807,48338.354838709674,50753.32258064516,42740.32258064516
9743.068965517241,0.0,12457.034482758621,94244.0,305710.5517241379,50702.724137931036,30724.344827586207,38892.379310344826,44097.75862068965,50907.31034482759
9967.129032258064,0.0,10454.677419354839,89475.70967741935,316374.03225806454,52640.93548387097,34604.8064516129,43833.48387096774,43320.096774193546,47383.709677419356
11586.966666666667,0.0,14577.266666666666,83340.8,266399.1666666667,47273.53333333333,30635.5,42735.433333333334,42439.76666666667,43325.03333333333
11128.612903225807,0.0,22284.612903225807,96681.6129032258,310299.6129032258,50749.096774193546,29295.90322580645,45939.83870967742,44086.41935483871,55178.83870967742
12736.366666666667,0.0,25061.1,91538.96666666666,289094.13333333336,49784.4,34902.8,40802.63333333333,47367.4,51270.066666666666
12373.387096774193,0.0,31367.387096774193,103392.0,317559.77419354836,69959.87096774194,34587.6129032258,53496.51612903226,38552.032258064515,50155.16129032258
10075.612903225807,0.0,34494.83870967742,115260.74193548386,348547.1612903226,84607.16129032258,34000.16129032258,47287.77419354839,37550.12903225807,69748.74193548386
11536.533333333333,0.0,34341.833333333336,108785.13333333333,290793.23333333334,49646.23333333333,31100.6,43427.066666666666,44020.666666666664,47348.73333333333
12577.58064516129,0.0,31813.774193548386,94849.12903225806,283870.1612903226,44784.645161290326,28984.41935483871,48396.967741935485,39297.48387096774,46345.25806451613
12638.733333333334,0.0,29684.766666666666,93793.3,260063.13333333333,47206.333333333336,26199.333333333332,39200.36666666667,38844.566666666666,42427.03333333333
12999.548387096775,0.0,33034.41935483871,106643.93548387097,288305.73333333334,52990.93548387097,32199.612903225807,44954.1935483871,42940.8064516129,39518.903225806454
13121.516129032258,0.0,31570.225806451614,92346.67741935483,290018.0,49309.48387096774,32888.709677419356,36818.645161290326,43328.903225806454,39861.22580645161
13369.75,0.0,31997.678571428572,96169.35714285714,294257.5714285714,48421.42857142857,28396.285714285714,34092.142857142855,39858.78571428572,38768.82142857143
12759.709677419354,0.0,32183.709677419356,88975.67741935483,289698.29032258067,44600.93548387097,37079.16129032258,33601.967741935485,47643.22580645161,41824.06451612903
13805.366666666667,0.0,27690.266666666666,80338.86666666667,219743.16666666666,40419.933333333334,24321.766666666666,32876.86666666667,29491.433333333334,31649.933333333334
10708.774193548386,0.0,19985.322580645163,78193.45161290323,135171.70967741936,30541.83870967742,17587.451612903227,22608.322580645163,22571.032258064515,30099.129032258064
12824.033333333333,0.0,26252.7,72026.76666666666,195375.66666666666,38207.26666666667,24152.233333333334,34484.46666666667,31824.4,40728.63333333333
12405.0,0.0,28081.612903225807,70372.90322580645,173611.32258064515,38875.3870967742,21649.387096774193,30913.645161290322,26225.225806451614,31067.774193548386
11934.032258064517,0.0,34405.32258064516,59775.25806451613,236247.93548387097,44789.93548387097,28937.516129032258,32108.935483870966,28769.774193548386,30253.612903225807
14557.733333333334,0.0,53341.03333333333,82864.06896551725,389798.36666666664,57139.23333333333,37532.73333333333,37435.666666666664,41027.566666666666,43198.933333333334
14836.677419354839,0.0,50575.54838709677,89906.2258064516,378537.4516129032,47529.032258064515,34550.87096774193,44597.645161290326,37535.51612903226,43077.2
14652.766666666666,0.0,49198.1,92283.33333333333,354397.26666666666,46700.1,30468.466666666667,39919.333333333336,42247.76666666667,38561.26666666667
13269.645161290322,0.0,25381.322580645163,88135.48387096774,241868.1935483871,46879.6129032258,26976.74193548387,36225.967741935485,33762.45161290323,28973.0
15538.290322580646,0.0,30583.548387096773,92316.0,265548.77419354836,46515.645161290326,26755.322580645163,34387.87096774193,41255.93548387097,32261.0
15203.107142857143,0.0,37221.92857142857,92113.57142857143,283428.4285714286,75812.78571428571,26775.821428571428,33394.17857142857,36274.107142857145,39249.46428571428
15535.032258064517,0.0,33622.74193548387,84568.96774193548,304056.8387096774,46880.096774193546,26519.774193548386,45455.45161290323,37143.32258064516,30910.032258064515
16636.766666666666,0.0,25002.866666666665,76954.86666666667,247099.5,47132.76666666667,27417.433333333334,37686.666666666664,35526.566666666666,29623.566666666666
16512.34375,0.0,28783.40625,81962.40625,256420.65625,47204.0,26044.78125,32420.6875,37967.625,40465.0
17454.866666666665,0.0,30102.666666666668,86409.93333333333,257545.26666666666,66755.16666666667,30182.2,40292.86666666667,40827.833333333336,60786.833333333336
16558.064516129034,0.0,32164.59259259259,94615.58064516129,258823.4814814815,53586.53571428572,31402.37037037037,38274.607142857145,31660.58620689655,50677.77777777778
16843.0,0.0,22642.814814814814,97942.7741935484,186043.4,38942.96296296296,20053.037037037036,24924.714285714286,24026.25,40186.708333333336
16887.0,0.0,31858.633333333335,94164.46666666666,246851.33333333334,52567.0,30511.633333333335,35312.73333333333,39673.76666666667,52378.76666666667
16849.612903225807,0.0,29076.83870967742,96651.0,234660.29032258064,48927.48387096774,34099.25806451613,38837.16129032258,35510.16129032258,51311.032258064515
18679.133333333335,0.0,26161.1,88825.26666666666,236830.13333333333,51417.566666666666,27488.933333333334,37613.2,40325.23333333333,48182.066666666666
15921.75,0.0,25729.666666666668,83936.64516129032,193292.66666666666,45922.0,23531.722222222223,40722.77777777778,35156.444444444445,42426.22222222222
17850.52380952381,0.0,26864.90322580645,90567.32258064517,207576.26666666666,47182.32258064516,25921.09677419355,31647.41935483871,36557.8064516129,42768.58064516129
19762.071428571428,0.0,30915.821428571428,100448.25,245350.14285714287,49072.46428571428,27772.428571428572,35289.75,40485.892857142855,47198.96428571428
18070.53125,0.0,25487.71875,79770.28125,208542.625,46982.75,26732.84375,34553.90625,34807.125,40695.8125
20811.633333333335,0.0,25854.5,73511.5,187418.4,44229.933333333334,29749.733333333334,35283.433333333334,33844.433333333334,47932.13333333333
19884.8064516129,0.0,28919.645161290322,81098.64516129032,211548.5806451613,51259.77419354839,27842.41935483871,33267.87096774193,33698.0,45258.967741935485
20925.7,0.0,30166.766666666666,84626.9,206475.43333333332,47344.26666666667,29647.9,37697.96666666667,35561.433333333334,48513.23333333333
21954.387096774193,0.0,33079.06451612903,103110.90322580645,216816.7741935484,50441.032258064515,28252.064516129034,44848.645161290326,34343.032258064515,46068.22580645161
21524.41935483871,0.0,36201.12903225807,114589.6129032258,236493.5483870968,61619.77419354839,34129.645161290326,35848.93548387097,35497.32258064516,48701.3870967742
21592.766666666666,0.0,37637.63333333333,115319.9,219530.1,57953.46666666667,28840.866666666665,36117.46666666667,41604.3,50438.63333333333
21884.064516129034,0.0,32325.516129032258,85245.2258064516,206217.25806451612,46125.22580645161,31389.90322580645,34243.83870967742,33355.3870967742,48936.290322580644
21902.7,0.0,33010.76666666667,92381.96666666666,209040.26666666666,50190.3,32977.5,34166.066666666666,37136.96666666667,55111.86666666667
20610.129032258064,0.0,31482.0,86714.41935483871,188731.35483870967,51563.74193548387,32338.451612903227,37917.48387096774,36338.6129032258,50952.06451612903
21752.322580645163,0.0,34456.3870967742,91111.74193548386,194047.0,55768.290322580644,30948.870967741936,38442.032258064515,43480.096774193546,89153.32258064517
22056.931034482757,0.0,34341.724137931036,96972.37931034483,193254.62068965516,52517.379310344826,28302.172413793105,36833.206896551725,38717.51724137931,72094.41379310345
20133.225806451614,0.0,35807.12903225807,101641.06451612903,196730.61290322582,57536.77419354839,29018.09677419355,40811.83870967742,40403.903225806454,71071.87096774194
23295.366666666665,0.0,40069.03333333333,120349.8,192420.66666666666,63415.166666666664,32243.966666666667,39849.4,37041.76666666667,66431.03333333334
23649.1935483871,0.0,40295.3870967742,111812.06451612903,204396.61290322582,57276.25806451613,32968.645161290326,41110.709677419356,36892.93548387097,65090.096774193546
21083.8,0.0,40387.2,116128.2,191642.7,54037.8,31146.6,37481.2,40331.9,62269.73333333333
25061.032258064515,0.0,44797.3870967742,136788.0,181821.90322580645,56322.83870967742,31640.612903225807,41813.645161290326,36804.6129032258,59848.12903225807
20186.322580645163,0.0,44603.0,106641.8,158842.43333333332,95402.35483870968,31194.709677419356,36236.74193548387,38617.54838709677,91367.1
22417.633333333335,0.0,41456.73333333333,103061.93333333333,156126.4,53583.86666666667,28867.2,34829.333333333336,42419.76666666667,77797.16666666667
22464.935483870966,0.0,38387.87096774193,104938.70967741935,156186.09677419355,48670.16129032258,37838.25806451613,35986.903225806454,40693.1935483871,72201.6129032258
21333.933333333334,0.0,36686.7,105434.66666666667,146756.26666666666,54138.36666666667,31997.6,33423.2,39797.433333333334,65830.23333333334
21010.322580645163,0.0,35550.87096774193,99636.70967741935,153507.48387096773,57054.354838709674,36568.93548387097,43565.1935483871,43040.12903225807,74364.12903225806
23172.548387096773,0.0,36151.6129032258,110101.87096774194,162821.12903225806,55256.93548387097,34959.12903225807,36036.54838709677,44308.3870967742,68471.80645161291
24194.214285714286,0.0,37164.96428571428,116756.46428571429,160301.2857142857,49145.57142857143,32166.678571428572,35206.46428571428,41213.78571428572,69826.07142857143
21664.548387096773,0.0,38122.77419354839,132521.67741935485,160644.35483870967,52857.1935483871,37112.48387096774,36455.58064516129,48358.77419354839,59812.16129032258
22345.266666666666,0.0,37730.96666666667,104508.66666666667,146574.43333333332,48282.833333333336,31558.7,36314.03333333333,38551.5,54892.166666666664
20916.8064516129,0.0,35665.48387096774,103516.06451612903,157963.35483870967,48464.32258064516,30782.225806451614,33396.74193548387,36485.74193548387,58044.74193548387
20669.1,0.0,36463.2,98574.7,142087.53333333333,47638.0,30724.6,37747.86666666667,38125.833333333336,68085.16666666667
24512.774193548386,0.0,36414.096774193546,107910.70967741935,143107.83870967742,53115.096774193546,33246.87096774193,38057.6129032258,34325.25806451613,65665.48387096774
22807.0,0.0,33216.096774193546,97346.0,142898.16129032258,57233.354838709674,31867.451612903227,35154.709677419356,32350.25806451613,66638.93548387097
24073.0,0.0,36171.86666666667,109108.16666666667,142485.23333333334,51326.8,27236.166666666668,36513.63333333333,37388.4,68398.1
25578.09677419355,0.0,35939.45161290323,107334.96774193548,147118.70967741936,45538.45161290323,36714.3870967742,37409.48387096774,40410.12903225807,57402.12903225807
24316.833333333332,0.0,36951.933333333334,99686.03333333334,151092.56666666668,49279.0,28754.033333333333,34866.4,40469.26666666667,68360.23333333334
24673.645161290322,0.0,33161.0,93215.6129032258,144663.4193548387,51024.06451612903,32705.548387096773,41086.354838709674,38583.67741935484,61764.354838709674
26026.8064516129,0.0,34475.3870967742,101297.3870967742,140395.51612903227,51775.8064516129,31639.516129032258,33791.87096774193,42264.58064516129,65526.51612903226
23195.428571428572,0.0,33866.07142857143,106312.75,131233.57142857142,78761.75,29295.071428571428,32783.71428571428,38767.32142857143,74450.71428571429
23052.9,0.0,34233.76666666667,100952.7,135277.96666666667,47701.933333333334,29436.533333333333,36704.5,36566.63333333333,65326.23333333333
24199.733333333334,0.0,35491.13333333333,107835.2,140199.5,48747.666666666664,32480.7,40690.46666666667,36988.86666666667,77802.63333333333
22189.032258064515,0.0,37651.77419354839,109727.29032258065,144526.2258064516,50150.77419354839,29987.290322580644,38565.93548387097,38759.032258064515,84014.06451612903
19483.5,0.0,40512.5,107679.66666666667,145366.23333333334,66954.33333333333,29370.466666666667,39388.36666666667,35031.76666666667,94124.7
23113.1935483871,0.0,42823.032258064515,114044.2258064516,151200.09677419355,65869.54838709677,37541.096774193546,34769.06451612903,37043.58064516129,77560.80645161291
21045.774193548386,0.0,38743.06451612903,109510.87096774194,155068.09677419355,63352.45161290323,29536.322580645163,33289.83870967742,36337.3870967742,69014.12903225806
22746.233333333334,0.0,38021.26666666667,112317.0,143066.76666666666,59110.333333333336,32942.23333333333,40261.066666666666,41586.566666666666,84240.7
24049.09677419355,0.0,34183.1935483871,107130.6129032258,130838.93548387097,49076.41935483871,32434.548387096773,33340.87096774193,37565.06451612903,63216.83870967742
24914.733333333334,0.0,34314.433333333334,119044.16666666667,131983.63333333333,50008.53333333333,29253.133333333335,35355.53333333333,36964.5,64024.86666666667
23427.0,0.0,31732.16129032258,107414.06451612903,122119.87096774194,52515.6129032258,34407.06451612903,38268.709677419356,38206.709677419356,61193.096774193546
23025.1935483871,0.0,34850.87096774193,121491.54838709677,124819.87096774194,56989.67741935484,31827.354838709678,35854.54838709677,44070.645161290326,75501.16129032258
23610.321428571428,0.0,35147.17857142857,129573.35714285714,127477.57142857143,51596.0,31679.5,35632.21428571428,39109.75,66963.0
22584.483870967742,0.0,32976.83870967742,116041.90322580645,127840.96774193548,54766.32258064516,29160.612903225807,35669.45161290323,37356.032258064515,68701.6129032258
21838.333333333332,0.0,32772.933333333334,120355.06666666667,124818.06666666667,57017.666666666664,29697.5,34278.53333333333,37145.96666666667,67493.3
21055.41935483871,0.0,37866.0,132842.93548387097,135880.4516129032,55610.83870967742,29500.354838709678,36361.12903225807,40209.41935483871,68587.87096774194
20335.566666666666,0.0,37644.53333333333,136552.3,133980.56666666668,51968.86666666667,31239.233333333334,39556.53333333333,37886.96666666667,84839.33333333333
23628.870967741936,0.0,50047.06451612903,144866.5806451613,129556.58064516129,57978.32258064516,36106.1935483871,41260.32258064516,37259.45161290323,93983.54838709677
22168.548387096773,0.0,53703.87096774193,139832.06451612903,136425.5806451613,63229.16129032258,32311.83870967742,35249.54838709677,37937.25806451613,68072.41935483871
21303.933333333334,0.0,41076.76666666667,133808.93333333332,117608.5,54456.2,33300.066666666666,37728.066666666666,35316.2,66894.36666666667
23469.90322580645,0.0,40897.51612903226,145208.09677419355,112523.03225806452,57383.8064516129,32948.645161290326,35216.1935483871,37053.83870967742,73694.25806451614
23870.3,0.0,39796.46666666667,126220.53333333334,110317.03333333334,47931.76666666667,30046.533333333333,40404.76666666667,34889.433333333334,73200.26666666666
22198.16129032258,0.0,33935.16129032258,122771.7741935484,109953.06451612903,51687.3870967742,33075.032258064515,38885.032258064515,37481.0,60663.48387096774
24337.290322580644,0.0,37223.3870967742,144845.5483870968,114819.41935483871,52113.1935483871,31717.645161290322,34030.967741935485,41272.16129032258,71771.0
23780.655172413793,0.0,43320.65517241379,230823.93103448275,113836.96551724138,54930.34482758621,37630.58620689655,35803.68965517241,44729.0,63407.48275862069
24400.354838709678,0.0,52097.3870967742,260021.16129032258,113777.0,62578.12903225807,39488.16129032258,38568.54838709677,48294.58064516129,69925.03225806452
23692.233333333334,0.0,59377.36666666667,279226.5,126604.36666666667,65065.53333333333,43920.4,41668.63333333333,50415.433333333334,80014.56666666667
22360.1935483871,0.0,51774.74193548387,187566.09677419355,133582.87096774194,60399.1935483871,37296.096774193546,35036.41935483871,41083.06451612903,71745.29032258065
21148.333333333332,0.0,42189.833333333336,135807.9,117508.9,49727.03333333333,30899.0,33638.13333333333,35396.6,61003.066666666666
21462.90322580645,0.0,46786.096774193546,130846.83870967742,121348.06451612903,50041.25806451613,36381.51612903226,34404.16129032258,39004.32258064516,60088.25806451613
22754.129032258064,0.0,48132.645161290326,128175.6129032258,133769.48387096773,52339.032258064515,37247.096774193546,33100.32258064516,37840.06451612903,54943.87096774193
20983.9,0.0,44695.73333333333,129482.23333333334,122367.06666666667,47760.53333333333,35850.9,30682.6,35559.166666666664,56326.86666666667
23459.935483870966,0.0,42171.6129032258,121293.32258064517,115278.16129032258,43575.096774193546,34160.06451612903,30581.516129032258,35512.3870967742,51702.58064516129
21726.066666666666,0.0,43324.666666666664,150497.86666666667,116178.66666666667,48030.833333333336,30335.733333333334,28932.8,34947.933333333334,50200.73333333333
22152.90322580645,0.0,40948.16129032258,149869.5806451613,114610.35483870968,52175.709677419356,34879.032258064515,33992.12903225807,38045.903225806454,43471.1935483871
25648.064516129034,0.0,41322.032258064515,170506.38709677418,120889.54838709677,51297.709677419356,37587.8064516129,31880.1935483871,40631.77419354839,53319.967741935485
24734.178571428572,0.0,36566.82142857143,131878.0357142857,114364.25,47287.357142857145,32842.107142857145,26411.64285714286,34799.0,53492.57142857143
23459.41935483871,0.0,39368.22580645161,123619.09677419355,107447.64516129032,46991.354838709674,32995.1935483871,23524.483870967742,33845.58064516129,47531.096774193546
24109.9,0.0,44915.96666666667,154599.7,106726.66666666667,44038.96666666667,32424.566666666666,23437.033333333333,34584.26666666667,50063.13333333333
