year_month,ita_name,responses
2010-01,番組ch(フジ),48802.354838709674
2010-01,番組ch(朝日),39156.93548387097
2010-01,芸スポ速報+,29535.548387096773
2010-02,ニュース速報,102009.32142857143
2010-02,ニュース速報+,79549.53571428571
2010-02,ニュー速VIP,166702.82142857142
2010-02,番組ch(NHK),71150.75
2010-02,番組ch(TBS),24392.75
2010-02,番組ch(フジ),49136.32142857143
2010-02,番組ch(朝日),38754.42857142857
2010-02,芸スポ速報+,44384.0
2010-03,ニュース速報,132252.13333333333
2010-03,ニュース速報+,100096.0
2010-03,ニュー速VIP,206139.83333333334
2010-03,番組ch(NHK),47217.933333333334
2010-03,番組ch(TBS),28258.2
2010-03,番組ch(フジ),52886.13333333333
2010-03,番組ch(朝日),39536.7
2010-03,芸スポ速報+,40340.066666666666
2010-04,ニュース速報,87015.06666666667
2010-04,ニュース速報+,82297.36666666667
2010-04,ニュー速VIP,158557.4
2010-04,番組ch(NHK),35368.3
2010-04,番組ch(TBS),27870.7
2010-04,番組ch(フジ),42096.166666666664
2010-04,番組ch(朝日),35914.23333333333
2010-04,芸スポ速報+,32064.533333333333
2010-05,ニュース速報,74628.83870967742
2010-05,ニュース速報+,79746.41935483871
2010-05,ニュー速VIP,135496.90322580645
2010-05,番組ch(NHK),38323.645161290326
2010-05,番組ch(TBS),26556.354838709678
2010-05,番組ch(フジ),38784.096774193546
2010-05,番組ch(朝日),39823.22580645161
2010-05,芸スポ速報+,29124.064516129034
2010-06,ニュース速報,86984.23333333334
2010-06,ニュース速報+,70049.26666666666
2010-06,ニュー速VIP,191215.96666666667
2010-06,番組ch(NHK),67000.03333333334
2010-06,番組ch(TBS),46920.36666666667
2010-06,番組ch(フジ),56713.76666666667
2010-06,番組ch(朝日),46648.6
2010-06,芸スポ速報+,55754.7
2010-07,ニュース速報,81184.41935483871
2010-07,ニュース速報+,73052.3870967742
2010-07,ニュー速VIP,176813.5806451613
2010-07,番組ch(NHK),42164.83870967742
2010-07,番組ch(TBS),28318.032258064515
2010-07,番組ch(フジ),47707.6129032258
2010-07,番組ch(朝日),33044.93548387097
2010-07,芸スポ速報+,38306.1935483871
2010-08,ニュース速報,82064.2258064516
2010-08,ニュース速報+,65986.96774193548
2010-08,ニュー速VIP,142735.12903225806
2010-08,番組ch(NHK),46025.51612903226
2010-08,番組ch(TBS),22526.58064516129
2010-08,番組ch(フジ),38437.22580645161
2010-08,番組ch(朝日),29487.90322580645
2010-08,芸スポ速報+,24960.451612903227
2010-09,ニュース速報,86801.10714285714
2010-09,ニュース速報+,70524.21428571429
2010-09,ニュー速VIP,142887.75
2010-09,番組ch(NHK),36230.28571428572
2010-09,番組ch(TBS),30227.178571428572
2010-09,番組ch(フジ),38039.21428571428
2010-09,番組ch(朝日),34907.5
2010-09,芸スポ速報+,24676.14285714286
2010-10,ニュース速報,102769.96774193548
2010-10,ニュース速報+,82690.70967741935
2010-10,ニュー速VIP,173351.09677419355
2010-10,番組ch(NHK),40532.709677419356
2010-10,番組ch(TBS),32108.709677419356
2010-10,番組ch(フジ),58415.48387096774
2010-10,番組ch(朝日),39118.0
2010-10,芸スポ速報+,39100.06451612903
2010-11,ニュース速報,109490.0
2010-11,ニュース速報+,104260.76666666666
2010-11,ニュー速VIP,157133.63333333333
2010-11,番組ch(NHK),47550.23333333333
2010-11,番組ch(TBS),28362.833333333332
2010-11,番組ch(フジ),51251.53333333333
2010-11,番組ch(朝日),39314.26666666667
2010-11,芸スポ速報+,37545.26666666667
2010-12,ニュース速報,84222.83870967742
2010-12,ニュース速報+,66470.06451612903
2010-12,ニュー速VIP,127116.87096774194
2010-12,番組ch(NHK),39543.74193548387
2010-12,番組ch(TBS),30426.225806451614
2010-12,番組ch(フジ),47279.645161290326
2010-12,番組ch(朝日),38758.032258064515
2010-12,芸スポ速報+,31184.83870967742
2011-01,ニュース速報,85862.19354838709
2011-01,ニュース速報+,52905.290322580644
2011-01,ニュー速VIP,138893.25806451612
2011-01,番組ch(NHK),39430.903225806454
2011-01,番組ch(TBS),29060.064516129034
2011-01,番組ch(フジ),48059.6129032258
2011-01,番組ch(朝日),50446.6129032258
2011-01,芸スポ速報+,23875.1935483871
2011-02,ニュース速報,112092.14285714286
2011-02,ニュース速報+,84503.0
2011-02,ニュー速VIP,181618.67857142858
2011-02,番組ch(NHK),48427.82142857143
2011-02,番組ch(TBS),30882.535714285714
2011-02,番組ch(フジ),55785.5
2011-02,番組ch(朝日),48072.42857142857
2011-02,芸スポ速報+,46161.46428571428
2011-03,ニュース速報,203808.5806451613
2011-03,ニュース速報+,172526.32258064515
2011-03,ニュー速VIP,224628.16129032258
2011-03,番組ch(NHK),107755.0
2011-03,番組ch(TBS),36140.74193548387
2011-03,番組ch(フジ),66054.06451612903
2011-03,番組ch(朝日),47893.3870967742
2011-03,芸スポ速報+,44080.032258064515
2011-04,ニュース速報,142097.23333333334
2011-04,ニュース速報+,129004.33333333333
2011-04,ニュー速VIP,233769.06666666668
2011-04,番組ch(NHK),76185.63333333333
2011-04,番組ch(TBS),40209.03333333333
2011-04,番組ch(フジ),53735.2
2011-04,番組ch(朝日),47985.166666666664
2011-04,芸スポ速報+,39613.76666666667
2011-05,ニュース速報,125316.16129032258
2011-05,ニュース速報+,98749.25806451614
2011-05,ニュー速VIP,252940.16129032258
2011-05,番組ch(NHK),59689.709677419356
2011-05,番組ch(TBS),34533.354838709674
2011-05,番組ch(フジ),53986.8064516129
2011-05,番組ch(朝日),46281.290322580644
2011-05,芸スポ速報+,45095.1935483871
2011-06,ニュース速報,129535.5
2011-06,ニュース速報+,88357.16666666667
2011-06,ニュー速VIP,232973.5
2011-06,番組ch(NHK),59845.3
2011-06,番組ch(TBS),35518.13333333333
2011-06,番組ch(フジ),54434.3
2011-06,番組ch(朝日),44781.73333333333
2011-06,芸スポ速報+,47761.333333333336
2011-07,ニュース速報,151177.32258064515
2011-07,ニュース速報+,93606.3870967742
2011-07,ニュー速VIP,319130.1612903226
2011-07,番組ch(NHK),58099.22580645161
2011-07,番組ch(TBS),38097.903225806454
2011-07,番組ch(フジ),72359.03225806452
2011-07,番組ch(朝日),42079.354838709674
2011-07,芸スポ速報+,71647.32258064517
2011-08,ニュース速報,162028.4516129032
2011-08,ニュース速報+,95700.70967741935
2011-08,ニュー速VIP,355463.6129032258
2011-08,番組ch(NHK),56109.645161290326
2011-08,番組ch(TBS),37849.6129032258
2011-08,番組ch(フジ),47602.32258064516
2011-08,番組ch(朝日),40942.22580645161
2011-08,芸スポ速報+,68863.29032258065
2011-09,ニュース速報,165759.23333333334
2011-09,ニュース速報+,95918.3
2011-09,ニュー速VIP,351037.9666666667
2011-09,番組ch(NHK),57686.73333333333
2011-09,番組ch(TBS),39094.86666666667
2011-09,番組ch(フジ),48453.333333333336
2011-09,番組ch(朝日),42651.23333333333
2011-09,芸スポ速報+,56241.3
2011-10,ニュース速報,159093.74193548388
2011-10,ニュース速報+,81965.51612903226
2011-10,ニュー速VIP,344852.03225806454
2011-10,番組ch(NHK),45684.1935483871
2011-10,番組ch(TBS),41781.032258064515
2011-10,番組ch(フジ),57970.16129032258
2011-10,番組ch(朝日),51704.096774193546
2011-10,芸スポ速報+,49695.032258064515
2011-11,BS実況(無料),8877.473684210527
2011-11,ニュース速報,163443.66666666666
2011-11,ニュース速報+,83188.06666666667
2011-11,ニュー速VIP,363702.9
2011-11,番組ch(NHK),50604.833333333336
2011-11,番組ch(TBS),35167.1
2011-11,番組ch(フジ),42582.566666666666
2011-11,番組ch(朝日),42999.066666666666
2011-11,芸スポ速報+,47702.066666666666
2011-12,BS実況(無料),8143.419354838709
2011-12,ニュース速報,164105.06451612903
2011-12,ニュース速報+,83490.64516129032
2011-12,ニュー速VIP,360089.6129032258
2011-12,番組ch(NHK),53634.645161290326
2011-12,番組ch(TBS),37688.32258064516
2011-12,番組ch(フジ),49589.74193548387
2011-12,番組ch(朝日),41766.709677419356
2011-12,芸スポ速報+,45847.16129032258
2012-01,BS実況(無料),8936.290322580646
2012-01,ニュース速報,76374.09677419355
2012-01,ニュース速報+,86696.67741935483
2012-01,ニュー速VIP,345800.96774193546
2012-01,番組ch(NHK),51502.8064516129
2012-01,番組ch(TBS),35210.12903225807
2012-01,番組ch(フジ),48338.354838709674
2012-01,番組ch(朝日),50753.32258064516
2012-01,芸スポ速報+,42740.32258064516
2012-02,BS実況(無料),9743.068965517241
2012-02,ニュース速報,12457.034482758621
2012-02,ニュース速報+,94244.0
2012-02,ニュー速VIP,305710.5517241379
2012-02,番組ch(NHK),50702.724137931036
2012-02,番組ch(TBS),30724.344827586207
2012-02,番組ch(フジ),38892.379310344826
2012-02,番組ch(朝日),44097.75862068965
2012-02,芸スポ速報+,50907.31034482759
2012-03,BS実況(無料),9967.129032258064
2012-03,ニュース速報,10454.677419354839
2012-03,ニュース速報+,89475.70967741935
2012-03,ニュー速VIP,316374.03225806454
2012-03,番組ch(NHK),52640.93548387097
2012-03,番組ch(TBS),34604.8064516129
2012-03,番組ch(フジ),43833.48387096774
2012-03,番組ch(朝日),43320.096774193546
2012-03,芸スポ速報+,47383.709677419356
2012-04,BS実況(無料),11586.966666666667
2012-04,ニュース速報,14577.266666666666
2012-04,ニュース速報+,83340.8
2012-04,ニュー速VIP,266399.1666666667
2012-04,番組ch(NHK),47273.53333333333
2012-04,番組ch(TBS),30635.5
2012-04,番組ch(フジ),42735.433333333334
2012-04,番組ch(朝日),42439.76666666667
2012-04,芸スポ速報+,43325.03333333333
2012-05,BS実況(無料),11128.612903225807
2012-05,ニュース速報,22284.612903225807
2012-05,ニュース速報+,96681.6129032258
2012-05,ニュー速VIP,310299.6129032258
2012-05,番組ch(NHK),50749.096774193546
2012-05,番組ch(TBS),29295.90322580645
2012-05,番組ch(フジ),45939.83870967742
2012-05,番組ch(朝日),44086.41935483871
2012-05,芸スポ速報+,55178.83870967742
2012-06,BS実況(無料),12736.366666666667
2012-06,ニュース速報,25061.1
2012-06,ニュース速報+,91538.96666666666
2012-06,ニュー速VIP,289094.13333333336
2012-06,番組ch(NHK),49784.4
2012-06,番組ch(TBS),34902.8
2012-06,番組ch(フジ),40802.63333333333
2012-06,番組ch(朝日),47367.4
2012-06,芸スポ速報+,51270.066666666666
2012-07,BS実況(無料),12373.387096774193
2012-07,ニュース速報,31367.387096774193
2012-07,ニュース速報+,103392.0
2012-07,ニュー速VIP,317559.77419354836
2012-07,番組ch(NHK),69959.87096774194
2012-07,番組ch(TBS),34587.6129032258
2012-07,番組ch(フジ),53496.51612903226
2012-07,番組ch(朝日),38552.032258064515
2012-07,芸スポ速報+,50155.16129032258
2012-08,BS実況(無料),10075.612903225807
2012-08,ニュース速報,34494.83870967742
2012-08,ニュース速報+,115260.74193548386
2012-08,ニュー速VIP,348547.1612903226
2012-08,番組ch(NHK),84607.16129032258
2012-08,番組ch(TBS),34000.16129032258
2012-08,番組ch(フジ),47287.77419354839
2012-08,番組ch(朝日),37550.12903225807
2012-08,芸スポ速報+,69748.74193548386
2012-09,BS実況(無料),11536.533333333333
2012-09,ニュース速報,34341.833333333336
2012-09,ニュース速報+,108785.13333333333
2012-09,ニュー速VIP,290793.23333333334
2012-09,番組ch(NHK),49646.23333333333
2012-09,番組ch(TBS),31100.6
2012-09,番組ch(フジ),43427.066666666666
2012-09,番組ch(朝日),44020.666666666664
2012-09,芸スポ速報+,47348.73333333333
2012-10,BS実況(無料),12577.58064516129
2012-10,ニュース速報,31813.774193548386
2012-10,ニュース速報+,94849.12903225806
2012-10,ニュー速VIP,283870.1612903226
2012-10,番組ch(NHK),44784.645161290326
2012-10,番組ch(TBS),28984.41935483871
2012-10,番組ch(フジ),48396.967741935485
2012-10,番組ch(朝日),39297.48387096774
2012-10,芸スポ速報+,46345.25806451613
2012-11,BS実況(無料),12638.733333333334
2012-11,ニュース速報,29684.766666666666
2012-11,ニュース速報+,93793.3
2012-11,ニュー速VIP,260063.13333333333
2012-11,番組ch(NHK),47206.333333333336
2012-11,番組ch(TBS),26199.333333333332
2012-11,番組ch(フジ),39200.36666666667
2012-11,番組ch(朝日),38844.566666666666
2012-11,芸スポ速報+,42427.03333333333
2012-12,BS実況(無料),12999.548387096775
2012-12,ニュース速報,33034.41935483871
2012-12,ニュース速報+,106643.93548387097
2012-12,ニュー速VIP,288305.73333333334
2012-12,番組ch(NHK),52990.93548387097
2012-12,番組ch(TBS),32199.612903225807
2012-12,番組ch(フジ),44954.1935483871
2012-12,番組ch(朝日),42940.8064516129
2012-12,芸スポ速報+,39518.903225806454
